brand_id;brand_name;count
2301;Бюстгалтери;16922
2793;Светр;16871
1983;Навісне та додаткове обладнання;16861
2158;Автоковрики;16858
3709;Житло подобово;16782
384;Пилососи;16769
583;Роликові ковзани;16744
2018;Мотоекіпірування;16463
2849;Домашній одяг та одяг для сну;16072
533;Декор вікон;16064
2431;Інші кузовні запчастини;15956
3223;Спецодяг, спецвзуття та аксесуари;15924
2868;Сорочки;15878
2642;Лофери;15636
3645;Пазли;15569
570;Обладнання перукарень / салонів краси;15493
2778;Шкіряні куртки;15318
822;Будівельні послуги;15311
3570;Брязкальця та підвіски;15258
3784;Інші запчастини для ноутбуків;15252
3466;Побутові послуги;15087
2858;Плащі й тренчі;15066
370;Холодильники;15049
3421;Квадрокоптери та аксесуари;15042
3146;Ремені та пояси;14941
659;Інший інструмент;14792
414;Акустичні системи;14776
3166;Гаманці;14765
1506;Аксесуари для ноутбуків;14752
1153;Обмін;14693
3290;Ліхтарики;14553
2728;Духи (парфуми);14492
650;Металопрокат / арматура;14248
2756;Спортивні костюми;14232
3829;Роутери (маршрутизатори);14191
3358;Спорядження;14161
3830;Принтери / БФП;14125
2453;Радіатори автомобільні;14120
2931;Спідниці міді;14105
2688;Кеди;14032
2637;Ботфорти;13971
2442;Блок циліндрів та його частини;13945
2903;Шкіряні куртки;13899
523;Кухонні меблі;13866
424;Аксесуари для ТВ/Відеотехніки;13840
2398;Автосидіння, крісла;13785
391;Бритви;13784
265;Мопеди / скутери;13758
392;Фени для волосся;13741
2824;Інші штани;13739
605;Єдиноборства / бокс;13579
3158;Ремені;13565
367;Акваріумістика;13509
3242;Каблучки;13505
2696;Кросівки для бігу;13500
2534;Стартер, запчастини стартера;13486
2182;Пороги та накладки;13258
2010;Чоловіча білизна та плавки;13090
143;Виробництво / робітничі спеціальності;13081
836;Ремонт та обслуговування техніки;13060
2174;Автонасоси, компресори, манометри;12954
193;Краса / здоров'я;12859
3711;Квартири подобово, погодинно;12831
144;Роздрібна торгівля / продажі / закупки;12826
3563;Інше обладнання;12772
2719;Інші кросівки;12764
2759;Світшот;12662
2869;Кардигани;12639
3273;Зарядні пристрої та док-станції;12502
3016;Ортопедичні товари;12246
2176;Пускові та зарядні пристрої;12190
247;В'язка;12189
2846;Комбінезони;12157
2621;Уггі;12116
2630;Балетки;12013
3828;Аксесуари та запчастини;11885
2648;Туфлі-човники;11715
2483;Рейки кермового управління;11636
3272;PowerBank та акумулятори;11622
2506;Розпилювачі та паливні форсунки;11564
2968;Інші брюки;11555
499;Студійне обладнання;11460
140;Логістика / Склад / Доставка;11258
2359;Вихлопна система;11255
435;Аксесуари для фото / відеокамер;11178
3288;Безперебійники живлення;11158
2578;Для вантажівок;11147
3546;Ділові послуги;11120
3008;Макіяж / декоративна косметика;11074
2070;Інші мотозапчастини;11063
2881;Сарафани;10859
3580;Інші іграшки для дітей;10777
101;Приставки;10764
103;Ігрові акаунти;10762
3759;Щипці / плойки для волосся;10732
3575;Набори для творчості;10725
2652;Шльопанці;10720
3260;Вантажоперевезення;10707
3193;Шарфи;10699
602;Водні види спорту;10688
2554;Акумулятори;10677
3076;Бандажі та пояси;10626
3286;Зарядні станції;10588
2787;Класичні костюми;10586
2458;Інші запчастини двигуна;10528
3558;Промислове обладнання;10512
3429;Оренда транспорту та спецтехніки;10481
1944;Допомога;10473
450;Стаціонарні телефони;10461
2729;Парфумована вода;10458
2860;Класичні брюки;10434
2918;Джинсові куртки;10432
3700;Оренда приміщення вільного призначення;10347
2329;М'які бюстгалтери;10326
652;Цегла / бетон / піноблоки;10310
2556;Генератор, запчастини генератора;10181
2880;Худі;10158
3243;Сережки;10102
2501;Паливні насоси;10065
3174;Браслети;9990
40;Лижі / сноуборди;9988
3566;Аксесуари для ляльок та пупсів;9978
3648;Дитячі настільні ігри;9978
3427;Аксесуари для квадрокоптерів;9946
2291;Елементи кріплення;9937
2368;Система подачі повітря;9834
3173;Клатчі;9825
261;Причепи / будинки на колесах;9777
2403;Кнопки / Перемикачі;9749
1482;Запчастини для телефонів;9733
3835;Аксесуари та запчастини для пральних машин;9715
3211;Кольє;9700
646;Пиломатеріали;9654
2425;Кузови легкових автомобілів;9641
2893;Вітровки;9629
2435;Вентилятори, системи кондиціювання та опалення;9602
2456;Турбіни, турбокомпресори;9582
3164;Сережки;9485
1616;Гаражі, парковки;9478
3800;Кухонні комбайни / подрібнювачі;9443
2370;Система очищення вікон та фар;9429
73;Цифрові фотоапарати;9415
3740;Інше;9398
2622;Мокасини та сліпони;9336
203;Послуги освіти та спорту;9328
2175;Авто інструменти, набори ключів;9307
3670;Інші м'які іграшки;9289
484;Аксесуари для приставок;9268
2315;Суцільні купальники;9256
1940;Електросамокати / гіроскутери;9236
2163;Для тюнінгу;9209
2815;Спортивні шорти;9196
2916;Випускні сукні;9130
3197;Рукавички;9107
2510;Балки підвіски;9075
3690;Оренда офісів;9056
2862;Костюми зі спідницею;9031
2440;Трубки, шланги, повітропроводи;9017
