input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/mitsubishi/,6 500+ оголошення про продаж Mitsubishi,6 500+ Про Mitsubishi,,mitsubishi
,https://auto.ria.com/uk/car/moto-guzzi/,11 оголошень про продаж Moto Guzzi,11 Оголошень Про Moto Guzzi,11,moto-guzzi
,https://auto.ria.com/uk/car/mv-agusta/,16 оголошень про продаж Mv agusta,16 Оголошень Про Mv Agusta,16,mv-agusta
,https://auto.ria.com/uk/car/neoplan/,133 оголошення про продаж Neoplan,133 Про Neoplan,133,neoplan
,https://auto.ria.com/uk/car/new-holland/,New Holland — 441 пропозиція,New Holland — 441 Пропозиція,,new-holland
,https://auto.ria.com/uk/car/nissan/,13 000+ оголошення про продаж Nissan,13 000+ Про Nissan,,nissan
,https://auto.ria.com/uk/car/opel/,13 000+ оголошень про продаж Opel,13 000+ Оголошень Про Opel,,opel
,https://auto.ria.com/uk/car/pacton/,73 оголошення про продаж Pacton,73 Про Pacton,73,pacton
,https://auto.ria.com/uk/car/peugeot/,7 000+ оголошення про продаж Peugeot,7 000+ Про Peugeot,,peugeot
,https://auto.ria.com/uk/car/piaggio/,40 оголошень про продаж Piaggio,40 Оголошень Про Piaggio,40,piaggio
,https://auto.ria.com/uk/car/polaris/,72 оголошення про продаж Polaris,72 Про Polaris,72,polaris
,https://auto.ria.com/uk/car/pontiac/,12 оголошень про продаж Pontiac,12 Оголошень Про Pontiac,12,pontiac
,https://auto.ria.com/uk/car/porsche/,1 600+ оголошень про продаж Porsche,1 600+ Оголошень Про Porsche,,porsche
,https://auto.ria.com/uk/car/powerboat/,13 оголошень про продаж Powerboat,13 Оголошень Про Powerboat,13,powerboat
,https://auto.ria.com/uk/car/pragmatec/,23 оголошення про продаж Pragmatec,23 Про Pragmatec,23,pragmatec
,https://auto.ria.com/uk/car/princess/,12 оголошень про продаж Princess,12 Оголошень Про Princess,12,princess
,https://auto.ria.com/uk/car/renault/,16 500+ оголошень про продаж Renault,16 500+ Оголошень Про Renault,,renault
,https://auto.ria.com/uk/car/rolls-royce/,32 оголошення про продаж Rolls-Royce,32 Про Rolls-royce,32,rolls-royce
,https://auto.ria.com/uk/car/rover/,108 оголошень про продаж Rover,108 Оголошень Про Rover,108,rover
,https://auto.ria.com/uk/car/sabur/,10 оголошень про продаж Sabur,10 Оголошень Про Sabur,10,sabur
,https://auto.ria.com/uk/car/scania/,408 оголошень про продаж Scania,408 Оголошень Про Scania,408,scania
,https://auto.ria.com/uk/car/schmitz/,386 оголошень про продаж Schmitz,386 Оголошень Про Schmitz,386,schmitz
,https://auto.ria.com/uk/car/schmitz-cargobull/,830 оголошень про продаж Schmitz Cargobull,830 Оголошень Про Schmitz Cargobull,830,schmitz-cargobull
,https://auto.ria.com/uk/car/schwarzmuller/,316 оголошень про продаж Schwarzmuller,316 Оголошень Про Schwarzmuller,316,schwarzmuller
,https://auto.ria.com/uk/car/seat/,1 400+ оголошення про продаж SEAT,1 400+ Про Seat,,seat
,https://auto.ria.com/uk/car/senke/,60 оголошень про продаж Senke,60 Оголошень Про Senke,60,senke
,https://auto.ria.com/uk/car/shark/,24 оголошення про продаж Shark,24 Про Shark,24,shark
,https://auto.ria.com/uk/car/sinomach/,16 оголошень про продаж Sinomach,16 Оголошень Про Sinomach,16,sinomach
,https://auto.ria.com/uk/car/skoda/,13 000+ оголошення про продаж Skoda,13 000+ Про Skoda,,skoda
,https://auto.ria.com/uk/car/smart/,592 оголошення про продаж Smart,592 Про Smart,592,smart
,https://auto.ria.com/uk/car/sparta/,27 оголошень про продаж Sparta,27 Оголошень Про Sparta,27,sparta
,https://auto.ria.com/uk/car/speed-gear/,17 оголошень про продаж Speed Gear,17 Оголошень Про Speed Gear,17,speed-gear
,https://auto.ria.com/uk/car/ssangyong/,782 оголошення про продаж SsangYong,782 Про Ssangyong,782,ssangyong
,https://auto.ria.com/uk/car/subaru/,2 800+ оголошення про продаж Subaru,2 800+ Про Subaru,,subaru
,https://auto.ria.com/uk/car/suzuki/,2 600+ оголошення про продаж Suzuki,2 600+ Про Suzuki,,suzuki
,https://auto.ria.com/uk/car/tcm/,15 оголошень про продаж TCM,15 Оголошень Про Tcm,15,tcm
,https://auto.ria.com/uk/car/temared/,10 оголошень про продаж Temared,10 Оголошень Про Temared,10,temared
,https://auto.ria.com/uk/car/tesla/,4 400+ оголошення про продаж Tesla,4 400+ Про Tesla,,tesla
,https://auto.ria.com/uk/car/toyota/,11 500+ оголошень про продаж Toyota,11 500+ Оголошень Про Toyota,,toyota
